date	time_sec	time_sec	Ch1_O2	Ch1_temp	Ch2_O2	Ch3_O2	Ch4_O2
8/10/2022	32:30.4	56.395	7.841	25.078	7.817	7.546	8.087
8/10/2022	32:31.4	57.394	7.839	25.075	7.814	7.549	8.08
8/10/2022	32:32.4	58.393	7.841	25.074	7.818	7.552	8.084
8/10/2022	32:33.4	59.393	7.849	25.073	7.816	7.551	8.085
8/10/2022	32:34.4	60.395	7.845	25.074	7.815	7.557	8.084
8/10/2022	32:35.4	61.394	7.849	25.076	7.822	7.552	8.083
8/10/2022	32:36.4	62.394	7.846	25.076	7.817	7.552	8.083
8/10/2022	32:37.4	63.396	7.852	25.077	7.818	7.56	8.078
8/10/2022	32:38.4	64.394	7.844	25.075	7.825	7.556	8.083
8/10/2022	32:39.4	65.396	7.848	25.074	7.823	7.559	8.078
8/10/2022	32:40.4	66.394	7.847	25.074	7.821	7.56	8.084
8/10/2022	32:41.4	67.396	7.849	25.075	7.825	7.559	8.081
8/10/2022	32:42.4	68.396	7.853	25.076	7.82	7.56	8.082
8/10/2022	32:43.4	69.395	7.847	25.079	7.828	7.561	8.082
8/10/2022	32:44.4	70.406	7.849	25.081	7.822	7.558	8.08
8/10/2022	32:45.4	71.397	7.847	25.083	7.826	7.562	8.082
8/10/2022	32:46.4	72.396	7.851	25.082	7.822	7.557	8.08
8/10/2022	32:47.4	73.395	7.854	25.081	7.827	7.564	8.08
8/10/2022	32:48.4	74.398	7.86	25.081	7.83	7.558	8.082
8/10/2022	32:49.4	75.399	7.858	25.083	7.829	7.561	8.079
8/10/2022	32:50.4	76.396	7.85	25.083	7.831	7.557	8.08
8/10/2022	32:51.4	77.395	7.851	25.083	7.826	7.561	8.082
8/10/2022	32:52.4	78.398	7.856	25.08	7.828	7.561	8.078
8/10/2022	32:53.4	79.397	7.859	25.077	7.829	7.564	8.084
8/10/2022	32:54.4	80.396	7.856	25.074	7.837	7.562	8.08
8/10/2022	32:55.4	81.398	7.86	25.073	7.835	7.563	8.079
8/10/2022	32:56.4	82.397	7.858	25.072	7.835	7.567	8.084
8/10/2022	32:57.4	83.403	7.859	25.071	7.837	7.564	8.084
8/10/2022	32:58.4	84.398	7.867	25.071	7.837	7.566	8.085
8/10/2022	32:59.4	85.397	7.862	25.071	7.837	7.567	8.083
8/10/2022	33:00.4	86.4	7.863	25.072	7.834	7.57	8.082
8/10/2022	33:01.4	87.4	7.86	25.072	7.835	7.575	8.08
8/10/2022	33:02.4	88.396	7.867	25.071	7.836	7.57	8.083
8/10/2022	33:03.4	89.398	7.864	25.071	7.838	7.57	8.083
8/10/2022	33:04.4	90.399	7.863	25.074	7.836	7.573	8.083
8/10/2022	33:05.4	91.399	7.865	25.076	7.839	7.569	8.074
8/10/2022	33:06.4	92.401	7.868	25.078	7.838	7.569	8.08
8/10/2022	33:07.4	93.403	7.87	25.078	7.839	7.576	8.082
8/10/2022	33:08.4	94.398	7.869	25.076	7.837	7.577	8.086
8/10/2022	33:09.4	95.398	7.868	25.076	7.838	7.572	8.084
8/10/2022	33:10.4	96.401	7.866	25.075	7.833	7.57	8.084
8/10/2022	33:11.4	97.399	7.862	25.073	7.837	7.574	8.084
8/10/2022	33:12.4	98.399	7.867	25.072	7.843	7.574	8.082
8/10/2022	33:13.4	99.4	7.862	25.072	7.841	7.58	8.08
8/10/2022	33:14.4	100.401	7.864	25.075	7.839	7.573	8.081
8/10/2022	33:15.4	101.4	7.865	25.074	7.84	7.571	8.081
8/10/2022	33:16.4	102.4	7.87	25.075	7.838	7.576	8.082
8/10/2022	33:17.4	103.401	7.87	25.074	7.84	7.571	8.083
8/10/2022	33:18.4	104.402	7.863	25.075	7.841	7.579	8.078
8/10/2022	33:19.4	105.401	7.867	25.074	7.845	7.576	8.086
8/10/2022	33:20.4	106.403	7.866	25.073	7.847	7.575	8.086
8/10/2022	33:21.4	107.403	7.865	25.075	7.842	7.58	8.086
8/10/2022	33:22.4	108.415	7.87	25.075	7.842	7.577	8.082
8/10/2022	33:23.4	109.403	7.865	25.075	7.843	7.582	8.082
8/10/2022	33:24.4	110.404	7.871	25.073	7.841	7.584	8.084
8/10/2022	33:25.4	111.404	7.869	25.073	7.846	7.576	8.079
8/10/2022	33:26.4	112.404	7.871	25.074	7.844	7.587	8.083
8/10/2022	33:27.4	113.405	7.865	25.077	7.845	7.576	8.075
8/10/2022	33:28.4	114.404	7.868	25.077	7.84	7.578	8.083
8/10/2022	33:29.4	115.411	7.87	25.079	7.844	7.576	8.079
8/10/2022	33:30.4	116.407	7.872	25.078	7.841	7.582	8.081
8/10/2022	33:31.4	117.413	7.874	25.078	7.844	7.581	8.079
8/10/2022	33:32.4	118.408	7.868	25.076	7.85	7.579	8.08
8/10/2022	33:33.4	119.41	7.875	25.073	7.848	7.584	8.083
8/10/2022	33:34.4	120.409	7.865	25.073	7.848	7.581	8.078
8/10/2022	33:35.4	121.408	7.867	25.076	7.846	7.58	8.08
8/10/2022	33:36.4	122.409	7.873	25.076	7.846	7.584	8.085
8/10/2022	33:37.4	123.41	7.869	25.076	7.85	7.582	8.079
8/10/2022	33:38.4	124.409	7.872	25.071	7.847	7.587	8.078
8/10/2022	33:39.4	125.411	7.869	25.072	7.848	7.582	8.084
8/10/2022	33:40.4	126.409	7.872	25.07	7.848	7.578	8.08
8/10/2022	33:41.4	127.41	7.873	25.07	7.848	7.587	8.08
8/10/2022	33:42.4	128.413	7.868	25.069	7.853	7.585	8.086
8/10/2022	33:43.4	129.409	7.874	25.069	7.849	7.586	8.083
8/10/2022	33:44.4	130.41	7.868	25.07	7.847	7.589	8.088
8/10/2022	33:45.4	131.408	7.865	25.072	7.845	7.586	8.085
8/10/2022	33:46.4	132.409	7.872	25.072	7.849	7.59	8.083
8/10/2022	33:47.4	133.409	7.87	25.072	7.848	7.584	8.08
8/10/2022	33:48.4	134.414	7.874	25.072	7.843	7.586	8.08
8/10/2022	33:49.4	135.41	7.876	25.075	7.846	7.583	8.085
8/10/2022	33:50.4	136.411	7.868	25.077	7.845	7.579	8.077
8/10/2022	33:51.4	137.415	7.873	25.076	7.851	7.585	8.082
8/10/2022	33:52.4	138.413	7.871	25.073	7.846	7.583	8.082
8/10/2022	33:53.4	139.412	7.879	25.071	7.845	7.584	8.084
8/10/2022	33:54.4	140.413	7.88	25.069	7.854	7.585	8.084
8/10/2022	33:55.4	141.412	7.87	25.071	7.846	7.589	8.081
8/10/2022	33:56.4	142.412	7.876	25.072	7.851	7.584	8.085
8/10/2022	33:57.4	143.414	7.873	25.072	7.847	7.587	8.084
8/10/2022	33:58.4	144.414	7.868	25.074	7.848	7.585	8.082
8/10/2022	33:59.4	145.414	7.883	25.074	7.854	7.59	8.078
8/10/2022	34:00.4	146.415	7.877	25.074	7.852	7.588	8.081
8/10/2022	34:01.4	147.414	7.873	25.073	7.851	7.585	8.082
8/10/2022	34:02.4	148.414	7.88	25.071	7.845	7.593	8.082
8/10/2022	34:03.4	149.414	7.879	25.071	7.848	7.586	8.081
8/10/2022	34:04.4	150.414	7.877	25.073	7.851	7.585	8.074
8/10/2022	34:05.4	151.415	7.876	25.073	7.851	7.59	8.081
8/10/2022	34:06.4	152.421	7.875	25.072	7.845	7.586	8.081
8/10/2022	34:07.4	153.414	7.88	25.071	7.845	7.588	8.079
8/10/2022	34:08.4	154.416	7.881	25.073	7.846	7.587	8.082
8/10/2022	34:09.4	155.419	7.878	25.076	7.848	7.586	8.077
8/10/2022	34:10.4	156.416	7.873	25.076	7.849	7.585	8.079
8/10/2022	34:11.4	157.416	7.877	25.076	7.848	7.583	8.077
8/10/2022	34:12.4	158.416	7.877	25.076	7.852	7.586	8.084
8/10/2022	34:13.4	159.416	7.881	25.075	7.847	7.589	8.085
8/10/2022	34:14.4	160.415	7.878	25.076	7.846	7.585	8.081
8/10/2022	34:15.4	161.417	7.869	25.074	7.849	7.592	8.081
8/10/2022	34:16.4	162.418	7.874	25.076	7.849	7.588	8.084
8/10/2022	34:17.4	163.42	7.873	25.076	7.847	7.587	8.083
8/10/2022	34:18.4	164.427	7.874	25.079	7.844	7.584	8.079
8/10/2022	34:19.4	165.42	7.872	25.078	7.849	7.59	8.087
8/10/2022	34:20.4	166.42	7.884	25.08	7.846	7.591	8.08
8/10/2022	34:21.4	167.423	7.869	25.08	7.848	7.588	8.082
8/10/2022	34:22.4	168.419	7.874	25.079	7.847	7.585	8.081
8/10/2022	34:23.4	169.421	7.879	25.077	7.846	7.587	8.081
8/10/2022	34:24.4	170.441	7.869	25.076	7.846	7.583	8.082
8/10/2022	34:25.4	171.421	7.871	25.076	7.852	7.593	8.082
8/10/2022	34:26.4	172.421	7.877	25.076	7.849	7.588	8.078
8/10/2022	34:27.4	173.425	7.879	25.076	7.847	7.588	8.079
8/10/2022	34:28.4	174.423	7.875	25.075	7.852	7.584	8.079
8/10/2022	34:29.4	175.427	7.882	25.074	7.851	7.59	8.081
8/10/2022	34:30.4	176.428	7.873	25.074	7.841	7.583	8.078
8/10/2022	34:31.4	177.424	7.874	25.075	7.844	7.591	8.08
8/10/2022	34:32.4	178.422	7.882	25.075	7.851	7.588	8.078
8/10/2022	34:33.4	179.422	7.879	25.074	7.85	7.593	8.078
8/10/2022	34:34.4	180.421	7.884	25.074	7.85	7.589	8.083
8/10/2022	34:35.4	181.421	7.872	25.073	7.85	7.585	8.079
8/10/2022	34:36.4	182.421	7.871	25.076	7.85	7.586	8.077
8/10/2022	34:37.4	183.423	7.88	25.076	7.846	7.591	8.079
8/10/2022	34:38.4	184.425	7.876	25.078	7.849	7.586	8.077
8/10/2022	34:39.4	185.424	7.874	25.078	7.848	7.593	8.078
8/10/2022	34:40.4	186.424	7.877	25.08	7.848	7.585	8.079
8/10/2022	34:41.4	187.433	7.877	25.081	7.848	7.584	8.076
8/10/2022	34:42.4	188.426	7.873	25.08	7.849	7.585	8.081
8/10/2022	34:43.4	189.426	7.869	25.079	7.846	7.589	8.076
8/10/2022	34:44.4	190.427	7.877	25.08	7.849	7.589	8.076
8/10/2022	34:45.4	191.427	7.878	25.081	7.85	7.584	8.079
8/10/2022	34:46.4	192.428	7.872	25.081	7.845	7.591	8.077
8/10/2022	34:47.4	193.427	7.877	25.08	7.846	7.583	8.081
8/10/2022	34:48.4	194.426	7.881	25.078	7.852	7.585	8.078
8/10/2022	34:49.4	195.428	7.873	25.076	7.852	7.591	8.082
8/10/2022	34:50.4	196.43	7.872	25.074	7.852	7.59	8.083
8/10/2022	34:51.4	197.43	7.872	25.074	7.848	7.59	8.081
8/10/2022	34:52.4	198.43	7.878	25.074	7.848	7.587	8.073
8/10/2022	34:53.4	199.428	7.874	25.075	7.852	7.591	8.081
8/10/2022	34:54.4	200.428	7.878	25.075	7.851	7.593	8.08
8/10/2022	34:55.4	201.429	7.875	25.079	7.844	7.589	8.077
8/10/2022	34:56.4	202.429	7.876	25.082	7.847	7.59	8.08
8/10/2022	34:57.4	203.431	7.877	25.084	7.851	7.594	8.076
8/10/2022	34:58.4	204.43	7.875	25.083	7.849	7.585	8.081
8/10/2022	34:59.4	205.431	7.879	25.08	7.846	7.591	8.081
8/10/2022	35:00.4	206.43	7.876	25.08	7.845	7.589	8.079
8/10/2022	35:01.4	207.431	7.885	25.082	7.845	7.593	8.081
8/10/2022	35:02.4	208.431	7.873	25.085	7.849	7.594	8.08
8/10/2022	35:03.4	209.436	7.873	25.084	7.845	7.588	8.077
8/10/2022	35:04.4	210.437	7.873	25.083	7.849	7.59	8.078
8/10/2022	35:05.4	211.433	7.877	25.084	7.845	7.587	8.081
8/10/2022	35:06.4	212.432	7.883	25.083	7.848	7.588	8.075
8/10/2022	35:07.4	213.435	7.874	25.085	7.853	7.59	8.077
8/10/2022	35:08.4	214.434	7.878	25.086	7.846	7.589	8.079
8/10/2022	35:09.4	215.437	7.879	25.085	7.848	7.586	8.079
8/10/2022	35:10.4	216.438	7.867	25.086	7.85	7.593	8.078
8/10/2022	35:11.4	217.438	7.877	25.084	7.846	7.592	8.078
8/10/2022	35:12.4	218.438	7.875	25.086	7.843	7.59	8.077
8/10/2022	35:13.4	219.44	7.88	25.086	7.847	7.592	8.077
8/10/2022	35:14.4	220.439	7.876	25.086	7.845	7.588	8.076
8/10/2022	35:15.4	221.439	7.88	25.083	7.849	7.59	8.08
8/10/2022	35:16.5	222.479	7.879	25.08	7.852	7.59	8.082
8/10/2022	35:17.4	223.439	7.877	25.079	7.849	7.591	8.083
8/10/2022	35:18.4	224.439	7.878	25.082	7.846	7.59	8.08
8/10/2022	35:19.4	225.44	7.878	25.085	7.848	7.585	8.076
8/10/2022	35:20.4	226.44	7.876	25.087	7.852	7.588	8.077
8/10/2022	35:21.4	227.44	7.877	25.088	7.846	7.588	8.081
8/10/2022	35:22.4	228.439	7.872	25.088	7.848	7.587	8.083
8/10/2022	35:23.5	229.53	7.872	25.085	7.847	7.587	8.075
8/10/2022	35:24.4	230.439	7.877	25.082	7.855	7.588	8.081
8/10/2022	35:25.4	231.441	7.875	25.081	7.853	7.588	8.079
8/10/2022	35:26.4	232.441	7.875	25.081	7.85	7.589	8.082
8/10/2022	35:27.4	233.442	7.877	25.083	7.85	7.585	8.08
8/10/2022	35:28.4	234.448	7.873	25.084	7.847	7.594	8.083
8/10/2022	35:29.4	235.457	7.877	25.084	7.85	7.593	8.076
8/10/2022	35:30.4	236.443	7.874	25.082	7.844	7.59	8.08
8/10/2022	35:31.4	237.441	7.876	25.084	7.843	7.583	8.079
8/10/2022	35:32.4	238.444	7.88	25.084	7.847	7.588	8.077
8/10/2022	35:33.4	239.443	7.881	25.085	7.845	7.584	8.079
8/10/2022	35:34.4	240.442	7.873	25.085	7.844	7.594	8.077
8/10/2022	35:35.4	241.441	7.871	25.085	7.849	7.588	8.077
8/10/2022	35:36.4	242.443	7.874	25.086	7.847	7.586	8.077
8/10/2022	35:37.4	243.442	7.875	25.087	7.845	7.588	8.076
8/10/2022	35:38.4	244.446	7.88	25.088	7.841	7.59	8.075
8/10/2022	35:39.4	245.445	7.881	25.088	7.849	7.592	8.078
8/10/2022	35:40.4	246.445	7.882	25.088	7.847	7.586	8.074
8/10/2022	35:41.4	247.448	7.866	25.09	7.845	7.587	8.076
8/10/2022	35:42.4	248.445	7.873	25.091	7.846	7.586	8.078
8/10/2022	35:43.4	249.445	7.865	25.092	7.843	7.58	8.075
8/10/2022	35:44.4	250.445	7.865	25.093	7.84	7.585	8.079
8/10/2022	35:45.4	251.446	7.864	25.09	7.844	7.582	8.074
8/10/2022	35:46.4	252.467	7.867	25.092	7.842	7.578	8.073
8/10/2022	35:47.4	253.445	7.86	25.093	7.837	7.581	8.073
8/10/2022	35:48.4	254.444	7.863	25.098	7.831	7.572	8.074
8/10/2022	35:49.4	255.444	7.86	25.095	7.834	7.584	8.074
8/10/2022	35:50.4	256.448	7.859	25.092	7.833	7.581	8.074
8/10/2022	35:51.4	257.447	7.854	25.091	7.832	7.569	8.074
8/10/2022	35:52.4	258.448	7.86	25.09	7.831	7.576	8.074
8/10/2022	35:53.4	259.448	7.856	25.09	7.827	7.576	8.074
8/10/2022	35:54.5	260.502	7.852	25.091	7.824	7.57	8.071
8/10/2022	35:55.4	261.454	7.856	25.092	7.823	7.57	8.072
8/10/2022	35:56.4	262.452	7.848	25.094	7.824	7.567	8.077
8/10/2022	35:57.4	263.454	7.853	25.093	7.822	7.569	8.072
8/10/2022	35:58.4	264.452	7.851	25.092	7.819	7.571	8.075
8/10/2022	35:59.4	265.454	7.848	25.093	7.821	7.572	8.075
8/10/2022	36:00.4	266.45	7.852	25.091	7.819	7.574	8.075
8/10/2022	36:01.4	267.457	7.842	25.091	7.816	7.569	8.071
8/10/2022	36:02.4	268.451	7.847	25.089	7.817	7.567	8.082
8/10/2022	36:03.4	269.452	7.834	25.088	7.811	7.573	8.075
8/10/2022	36:04.4	270.451	7.839	25.088	7.813	7.569	8.075
8/10/2022	36:05.4	271.451	7.842	25.087	7.81	7.565	8.078
8/10/2022	36:06.4	272.451	7.836	25.087	7.81	7.566	8.077
8/10/2022	36:07.4	273.452	7.836	25.087	7.81	7.563	8.079
8/10/2022	36:08.4	274.454	7.837	25.084	7.809	7.555	8.078
8/10/2022	36:09.4	275.452	7.834	25.082	7.81	7.559	8.079
8/10/2022	36:10.4	276.453	7.831	25.079	7.807	7.565	8.078
8/10/2022	36:11.4	277.451	7.836	25.078	7.803	7.563	8.084
8/10/2022	36:12.4	278.452	7.836	25.077	7.806	7.565	8.081
8/10/2022	36:13.4	279.454	7.829	25.079	7.801	7.558	8.074
8/10/2022	36:14.4	280.451	7.823	25.085	7.79	7.556	8.078
8/10/2022	36:15.4	281.452	7.816	25.091	7.798	7.559	8.073
8/10/2022	36:16.4	282.453	7.822	25.094	7.791	7.558	8.077
8/10/2022	36:17.4	283.455	7.82	25.094	7.797	7.562	8.073
8/10/2022	36:18.4	284.452	7.814	25.097	7.791	7.546	8.078
8/10/2022	36:19.5	285.473	7.818	25.099	7.789	7.555	8.073
8/10/2022	36:20.5	286.487	7.82	25.099	7.787	7.552	8.072
8/10/2022	36:21.4	287.451	7.813	25.097	7.786	7.553	8.074
8/10/2022	36:22.4	288.454	7.809	25.096	7.785	7.554	8.074
8/10/2022	36:23.4	289.453	7.805	25.094	7.782	7.55	8.077
8/10/2022	36:24.4	290.452	7.813	25.094	7.782	7.548	8.078
8/10/2022	36:25.4	291.455	7.808	25.094	7.778	7.546	8.075
8/10/2022	36:26.4	292.454	7.803	25.093	7.78	7.549	8.075
8/10/2022	36:27.4	293.453	7.803	25.092	7.777	7.554	8.072
8/10/2022	36:28.4	294.454	7.799	25.091	7.776	7.547	8.078
8/10/2022	36:29.4	295.454	7.805	25.092	7.771	7.552	8.075
8/10/2022	36:30.4	296.457	7.805	25.093	7.775	7.546	8.076
8/10/2022	36:31.4	297.456	7.802	25.092	7.774	7.546	8.075
8/10/2022	36:32.4	298.455	7.804	25.092	7.773	7.542	8.077
8/10/2022	36:33.4	299.454	7.793	25.092	7.768	7.539	8.078
8/10/2022	36:34.4	300.457	7.794	25.09	7.771	7.545	8.073
8/10/2022	36:35.4	301.455	7.798	25.089	7.77	7.537	8.08
8/10/2022	36:36.4	302.454	7.794	25.089	7.765	7.532	8.079
8/10/2022	36:37.4	303.458	7.788	25.09	7.762	7.537	8.08
8/10/2022	36:38.4	304.456	7.782	25.091	7.763	7.535	8.076
8/10/2022	36:39.4	305.456	7.79	25.09	7.762	7.529	8.078
8/10/2022	36:40.4	306.459	7.789	25.091	7.758	7.532	8.075
8/10/2022	36:41.4	307.458	7.777	25.096	7.756	7.529	8.075
8/10/2022	36:42.4	308.458	7.782	25.098	7.759	7.528	8.076
8/10/2022	36:43.4	309.458	7.782	25.097	7.758	7.528	8.072
8/10/2022	36:44.4	310.458	7.781	25.096	7.754	7.525	8.076
8/10/2022	36:45.4	311.459	7.776	25.094	7.756	7.529	8.073
8/10/2022	36:46.4	312.458	7.773	25.094	7.748	7.521	8.076
8/10/2022	36:47.4	313.457	7.773	25.094	7.749	7.526	8.076
8/10/2022	36:48.4	314.459	7.774	25.091	7.751	7.521	8.074
8/10/2022	36:49.4	315.461	7.77	25.089	7.749	7.522	8.078
8/10/2022	36:50.4	316.459	7.773	25.089	7.746	7.522	8.074
8/10/2022	36:51.4	317.459	7.767	25.089	7.746	7.525	8.074
8/10/2022	36:52.4	318.465	7.766	25.091	7.746	7.518	8.076
8/10/2022	36:53.4	319.461	7.766	25.091	7.744	7.521	8.077
8/10/2022	36:54.4	320.46	7.761	25.095	7.741	7.519	8.074
8/10/2022	36:55.4	321.459	7.76	25.096	7.739	7.52	8.076
8/10/2022	36:56.4	322.46	7.762	25.098	7.735	7.513	8.077
8/10/2022	36:57.4	323.462	7.76	25.098	7.735	7.508	8.08
8/10/2022	36:58.4	324.461	7.757	25.1	7.738	7.508	8.075
8/10/2022	36:59.4	325.46	7.754	25.099	7.73	7.517	8.075
8/10/2022	37:00.4	326.46	7.753	25.099	7.734	7.515	8.072
8/10/2022	37:01.4	327.46	7.754	25.101	7.734	7.512	8.075
8/10/2022	37:02.4	328.46	7.753	25.105	7.731	7.51	8.077
8/10/2022	37:03.4	329.461	7.748	25.105	7.731	7.506	8.076
8/10/2022	37:04.4	330.463	7.75	25.104	7.725	7.507	8.071
8/10/2022	37:05.4	331.461	7.743	25.106	7.721	7.509	8.076
8/10/2022	37:06.4	332.462	7.747	25.106	7.727	7.504	8.079
8/10/2022	37:07.4	333.462	7.736	25.106	7.727	7.503	8.069
8/10/2022	37:08.4	334.462	7.734	25.106	7.716	7.504	8.074
8/10/2022	37:09.4	335.465	7.74	25.106	7.713	7.496	8.073
8/10/2022	37:10.4	336.463	7.738	25.107	7.72	7.495	8.081
8/10/2022	37:11.4	337.467	7.726	25.107	7.718	7.495	8.075
8/10/2022	37:12.4	338.464	7.741	25.105	7.715	7.494	8.076
8/10/2022	37:13.4	339.467	7.73	25.104	7.716	7.495	8.078
8/10/2022	37:14.4	340.467	7.73	25.106	7.718	7.5	8.073
8/10/2022	37:15.4	341.47	7.726	25.106	7.713	7.491	8.078
8/10/2022	37:16.4	342.468	7.727	25.107	7.714	7.492	8.077
8/10/2022	37:17.4	343.472	7.72	25.105	7.713	7.494	8.072
8/10/2022	37:18.4	344.469	7.726	25.104	7.715	7.488	8.076
8/10/2022	37:19.4	345.469	7.723	25.104	7.713	7.495	8.076
8/10/2022	37:20.4	346.469	7.722	25.106	7.711	7.487	8.074
8/10/2022	37:21.4	347.468	7.717	25.11	7.705	7.492	8.071
8/10/2022	37:22.4	348.469	7.71	25.112	7.703	7.494	8.077
8/10/2022	37:23.4	349.47	7.714	25.112	7.7	7.484	8.074
8/10/2022	37:24.4	350.47	7.71	25.112	7.702	7.485	8.072
8/10/2022	37:25.4	351.469	7.713	25.111	7.695	7.485	8.074
8/10/2022	37:26.4	352.47	7.706	25.111	7.7	7.484	8.075
8/10/2022	37:27.5	353.477	7.705	25.107	7.701	7.484	8.076
8/10/2022	37:28.4	354.469	7.707	25.106	7.704	7.478	8.075
8/10/2022	37:29.4	355.47	7.705	25.103	7.699	7.485	8.074
8/10/2022	37:30.4	356.471	7.703	25.105	7.699	7.48	8.076
8/10/2022	37:31.4	357.47	7.699	25.106	7.7	7.481	8.079
8/10/2022	37:32.5	358.474	7.698	25.107	7.688	7.48	8.08
8/10/2022	37:33.5	359.51	7.697	25.109	7.692	7.477	8.075
8/10/2022	37:34.4	360.472	7.697	25.11	7.689	7.48	8.079
8/10/2022	37:35.5	361.474	7.695	25.112	7.684	7.476	8.085
8/10/2022	37:36.5	362.472	7.69	25.112	7.686	7.475	8.079
8/10/2022	37:37.5	363.473	7.681	25.114	7.676	7.474	8.071
8/10/2022	37:38.5	364.473	7.687	25.112	7.682	7.469	8.072
8/10/2022	37:39.5	365.474	7.685	25.11	7.679	7.471	8.076
8/10/2022	37:40.5	366.475	7.682	25.109	7.674	7.473	8.077
8/10/2022	37:41.5	367.479	7.687	25.109	7.677	7.471	8.073
8/10/2022	37:42.5	368.479	7.683	25.108	7.676	7.467	8.073
8/10/2022	37:43.5	369.479	7.679	25.108	7.673	7.468	8.074
8/10/2022	37:44.5	370.482	7.678	25.108	7.669	7.465	8.078
8/10/2022	37:45.5	371.483	7.682	25.108	7.67	7.468	8.085
8/10/2022	37:46.5	372.48	7.676	25.109	7.666	7.462	8.076
8/10/2022	37:47.5	373.479	7.675	25.108	7.664	7.464	8.08
8/10/2022	37:48.5	374.481	7.672	25.11	7.664	7.46	8.078
